0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1509.6,1453.4,1196.2,978.0,700.0,839.8,785.2,830.8,1003.6,171.9,1734.7,1543.1,1256.1,73.6,838.8
1106.9,1039.4,952.0,733.8,297.3,1011.3,956.7,888.3,878.8,603.2,1320.7,1140.4,1022.1,504.9,424.8
1096.0,1023.5,846.0,627.8,574.8,1008.9,945.6,782.3,772.8,888.1,1327.9,1173.2,916.1,789.8,278.1
1465.1,1392.6,986.1,767.9,681.7,629.7,575.1,620.7,793.5,318.3,1716.4,1524.8,1046.0,309.2,820.5
1379.2,1323.0,1131.3,913.1,569.6,774.9,720.3,765.9,938.7,329.5,1604.3,1412.7,1191.2,231.2,708.4
885.1,812.6,929.2,711.0,518.1,1078.0,1023.4,865.5,856.0,881.0,1280.8,1166.1,936.4,782.7,155.9
961.2,879.2,1297.1,1356.1,1382.1,1758.2,1673.9,1510.6,1501.1,1897.1,1759.1,1729.7,1253.4,1798.8,1184.5
920.7,1122.2,1509.2,1369.8,937.2,1771.9,1687.6,1524.3,1514.8,1684.3,157.8,661.6,1465.5,1586.0,1219.9
1106.2,1033.7,646.4,428.2,855.9,499.8,445.2,490.8,573.2,635.8,1501.9,1425.8,716.5,724.6,569.3
1305.4,1232.9,469.6,334.9,1185.4,790.5,706.2,542.9,312.3,1147.2,1701.1,1625.0,539.7,1236.0,877.0
1198.3,1125.8,317.7,166.2,1078.3,683.4,599.1,435.8,205.2,1040.1,1594.0,1517.9,387.8,1128.9,769.9
