id,source,type,state,priority,gravity,class,object,latitude,longitude,location,broker_id,implicated,address,zone_id,orient,incident_time,incident_day,incident_weekday,incident_hour,implicated_type,injured_count,dead_count
67504,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.616217613220215,-74.14772033691406,Kennedy,,2.0,Calle 38 A SUR Carrera 73,Zona 2,Oriente - Occidente,2022-05-24 06:07:00,24,1,6,Motocicleta,0.0,0.0
67505,Cámaras,,Cerrado,1,,Varado,,4.63931131362915,-74.1356201171875,Kennedy,Av Boyacá SN,1.0,Av. Boyacá  Calle 9,Zona 2,Sur - Norte,2022-05-24 06:20:00,24,1,6,Tracto camión,0.0,0.0
67506,TMSA,Choque,Cerrado,1,Simple,Siniestro,,4.573163032531738,-74.13941955566406,Tunjuelito,Av Boyacá SN,2.0,Av. Boyacá  Carrera 24,Zona 2,Oriente - Occidente,2022-05-24 06:21:00,24,1,6,Taxi,0.0,0.0
67506,TMSA,Choque,Cerrado,1,Simple,Siniestro,,4.573163032531738,-74.13941955566406,Tunjuelito,Av Boyacá SN,2.0,Av. Boyacá  Carrera 24,Zona 2,Oriente - Occidente,2022-05-24 06:21:00,24,1,6,Motocicleta,0.0,0.0
67507,Gogev,,Cerrado,1,,Varado,,4.726090431213379,-74.12467193603516,Engativa,Av Calle 80 EW,1.0,calle 80 carrera 119,Zona 1,Oriente - Occidente,2022-05-24 06:10:00,24,1,6,Bus,0.0,0.0
67508,Waze,Choque,Cerrado,2,Simple,Siniestro,,4.574357032775879,-74.15399932861328,Ciudad Bolivar,,2.0,Av. Villavicencio  Calle 61 sur,Zona 2,Sur - Norte,2022-05-24 06:49:00,24,1,6,Camión,0.0,0.0
67508,Waze,Choque,Cerrado,2,Simple,Siniestro,,4.574357032775879,-74.15399932861328,Ciudad Bolivar,,2.0,Av. Villavicencio  Calle 61 sur,Zona 2,Sur - Norte,2022-05-24 06:49:00,24,1,6,Camión,0.0,0.0
67509,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.595059871673584,-74.08154296875,Santa Fe,,2.0,Carrera 10 Calle 6,Zona 2,Norte - sur,2022-05-24 06:57:00,24,1,6,Automóvil,0.0,0.0
67509,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.595059871673584,-74.08154296875,Santa Fe,,2.0,Carrera 10 Calle 6,Zona 2,Norte - sur,2022-05-24 06:57:00,24,1,6,Automóvil,0.0,0.0
67510,PONAL tránsito,Choque,Cerrado,1,Simple,Siniestro,,4.760271072387695,-74.0447006225586,Usaquen,Autopista norte SN,2.0,Autonorte calle 183,Zona 1,Sur - Norte,2022-05-24 06:59:00,24,1,6,Camioneta,0.0,0.0
67510,PONAL tránsito,Choque,Cerrado,1,Simple,Siniestro,,4.760271072387695,-74.0447006225586,Usaquen,Autopista norte SN,2.0,Autonorte calle 183,Zona 1,Sur - Norte,2022-05-24 06:59:00,24,1,6,Camioneta,0.0,0.0
67511,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.6313066482543945,-74.18838500976562,Bosa,,2.0,Carrera 89b Calle 56 sur,Zona 2,Sur - Norte,2022-05-24 07:01:00,24,1,7,Automóvil,0.0,0.0
67511,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.6313066482543945,-74.18838500976562,Bosa,,2.0,Carrera 89b Calle 56 sur,Zona 2,Sur - Norte,2022-05-24 07:01:00,24,1,7,Motocicleta,0.0,0.0
67512,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.613354206085205,-74.12760925292969,Puente Aranda,Av Carrera 68 SN,2.0,Carrera 68  Calle 18 sur,Zona 2,Sin orientación,2022-05-24 07:03:00,24,1,7,Automóvil,0.0,0.0
67512,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.613354206085205,-74.12760925292969,Puente Aranda,Av Carrera 68 SN,2.0,Carrera 68  Calle 18 sur,Zona 2,Sin orientación,2022-05-24 07:03:00,24,1,7,Motocicleta,0.0,0.0
67513,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.768856525421143,-74.02439880371094,Usaquen,,2.0,Calle 192 B Carrera 4,Zona 1,Sin orientación,2022-05-24 07:02:00,24,1,7,Automóvil,0.0,0.0
67513,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.768856525421143,-74.02439880371094,Usaquen,,2.0,Calle 192 B Carrera 4,Zona 1,Sin orientación,2022-05-24 07:02:00,24,1,7,Automóvil,0.0,0.0
67514,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.634335041046143,-74.09038543701172,Teusaquillo,Av Calle 26 WE,2.0,NQS  Calle 26 (Av. Dorado) ,Zona 1,Sur - Norte,2022-05-24 06:49:00,24,1,6,Automóvil,0.0,0.0
67514,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.634335041046143,-74.09038543701172,Teusaquillo,Av Calle 26 WE,2.0,NQS  Calle 26 (Av. Dorado) ,Zona 1,Sur - Norte,2022-05-24 06:49:00,24,1,6,Motocicleta,0.0,0.0
67515,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.584982872009277,-74.10021209716797,Antonio Nariño,,2.0,Carrera 17 Calle 17 SUR,Zona 2,Sur - Norte,2022-05-24 06:55:00,24,1,6,Taxi,0.0,0.0
67515,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.584982872009277,-74.10021209716797,Antonio Nariño,,2.0,Carrera 17 Calle 17 SUR,Zona 2,Sur - Norte,2022-05-24 06:55:00,24,1,6,Motocicleta,0.0,0.0
67516,Semaforización,Mantenimiento preventivo,Cerrado,2,,Semaforización,,4.59970760345459,-74.1622543334961,Bosa,,,AK 71B X CL 57B S,Zona 2,Sin orientación,2022-05-24 07:08:00,24,1,7,,,
67517,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.634620189666748,-74.16302490234375,Kennedy,Av Ciudad de Cali NS,2.0,Av. Cali  Calle 38 sur,Zona 2,Sin orientación,2022-05-24 07:22:00,24,1,7,Bus,0.0,0.0
67517,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.634620189666748,-74.16302490234375,Kennedy,Av Ciudad de Cali NS,2.0,Av. Cali  Calle 38 sur,Zona 2,Sin orientación,2022-05-24 07:22:00,24,1,7,Camioneta,0.0,0.0
67518,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.715413570404053,-74.04762268066406,Usaquen,,2.0,Carrera 19 Calle 131 A,Zona 1,Sur - Norte,2022-05-24 06:49:00,24,1,6,Automóvil,0.0,0.0
67518,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.715413570404053,-74.04762268066406,Usaquen,,2.0,Carrera 19 Calle 131 A,Zona 1,Sur - Norte,2022-05-24 06:49:00,24,1,6,Camión,0.0,0.0
67519,Semaforización,Mantenimiento preventivo,Cerrado,1,,Semaforización,,4.578776836395264,-74.1080322265625,Rafael Uribe Uribe,Av Caracas NS,,AK 14 X CL 28 S,Zona 2,Sin orientación,2022-05-24 07:19:00,24,1,7,,,
67520,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.58424186706543,-74.13619232177734,Tunjuelito,,2.0,Carrera 32 Calle 51 SUR,Zona 2,Sur - Norte,2022-05-24 07:03:00,24,1,7,Automóvil,0.0,0.0
67520,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.58424186706543,-74.13619232177734,Tunjuelito,,2.0,Carrera 32 Calle 51 SUR,Zona 2,Sur - Norte,2022-05-24 07:03:00,24,1,7,Motocicleta,0.0,0.0
67521,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.725321769714356,-74.03216552734375,Usaquen,,2.0,Calle 147 Carrera 9,Zona 1,Sin orientación,2022-05-24 06:53:00,24,1,6,Automóvil,0.0,0.0
67521,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.725321769714356,-74.03216552734375,Usaquen,,2.0,Calle 147 Carrera 9,Zona 1,Sin orientación,2022-05-24 06:53:00,24,1,6,Motocicleta,0.0,0.0
67522,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.750637531280518,-74.0438461303711,Usaquen,,2.0,Calle 170 Carrera 21 A,Zona 1,Occidente - Oriente,2022-05-24 07:01:00,24,1,7,Automóvil,0.0,0.0
67522,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.750637531280518,-74.0438461303711,Usaquen,,2.0,Calle 170 Carrera 21 A,Zona 1,Occidente - Oriente,2022-05-24 07:01:00,24,1,7,Bus,0.0,0.0
67523,NUSE,Autolesiones,Cerrado,1,Con lesionado,Siniestro,,4.683350563049316,-74.05748748779297,Chapinero,Autopista norte SN,1.0,Autonorte  Calle 95,Zona 1,Sur - Norte,2022-05-24 07:10:00,24,1,7,Motocicleta,0.0,0.0
67524,NUSE,Autolesiones,Cerrado,1,Con lesionado,Siniestro,,4.702827453613281,-74.10134887695312,Engativa,Av Ciudad de Cali NS,1.0,Av. Cali  Calle 80 ,Zona 1,Norte - sur,2022-05-24 07:11:00,24,1,7,Motocicleta,0.0,0.0
67525,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.746713638305664,-74.08445739746094,Suba,,2.0,Carrera 92 Calle 151,Zona 1,Norte - sur,2022-05-24 07:11:00,24,1,7,Automóvil,0.0,0.0
67525,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.746713638305664,-74.08445739746094,Suba,,2.0,Carrera 92 Calle 151,Zona 1,Norte - sur,2022-05-24 07:11:00,24,1,7,Automóvil,0.0,0.0
67526,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.74949312210083,-74.03970336914062,Usaquen,,2.0,Carrera 17 A Calle 170,Zona 1,Norte - sur,2022-05-24 07:13:00,24,1,7,Automóvil,0.0,0.0
67526,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.74949312210083,-74.03970336914062,Usaquen,,2.0,Carrera 17 A Calle 170,Zona 1,Norte - sur,2022-05-24 07:13:00,24,1,7,Motocicleta,0.0,0.0
67527,Gogev,Autolesiones,Cerrado,2,Con lesionado,Siniestro,,4.793799877166748,-74.0390853881836,Usaquen,,1.0,Autonorte  Calle 215,Zona 1,Sur - Norte,2022-05-24 07:38:00,24,1,7,Motocicleta,0.0,0.0
67528,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.669233798980713,-74.095703125,Engativa,,2.0,Carrera 68 F Calle 63 B,Zona 1,Sur - Norte,2022-05-24 07:29:00,24,1,7,Automóvil,0.0,0.0
67528,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.669233798980713,-74.095703125,Engativa,,2.0,Carrera 68 F Calle 63 B,Zona 1,Sur - Norte,2022-05-24 07:29:00,24,1,7,Motocicleta,0.0,0.0
67529,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.708072662353516,-74.11287689208984,Engativa,,2.0,Carrera 99 Calle 76 B,Zona 1,Sin orientación,2022-05-24 07:34:00,24,1,7,Motocicleta,0.0,0.0
67529,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.708072662353516,-74.11287689208984,Engativa,,2.0,Carrera 99 Calle 76 B,Zona 1,Sin orientación,2022-05-24 07:34:00,24,1,7,Peatón,0.0,0.0
