0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1679.2,763.1,496.2,441.4,694.6,835.6,804.6,812.1,1031.4,822.7,636.5,1107.5,1205.7,1187.3,1101.2,299.6,987.1,1652.0,1647.5,1647.5
176.8,1507.9,1315.1,1332.6,1155.6,1580.4,1549.4,1731.3,908.9,786.5,1009.9,1431.6,533.8,575.8,470.9,1482.1,799.3,311.2,864.9,864.9
2287.2,3008.7,2815.9,2833.4,2698.3,3081.2,3050.2,3232.1,2451.6,2329.2,2510.7,2932.4,2076.5,2118.5,1971.7,2982.9,2342.0,2370.5,2567.3,2567.3
1682.5,693.7,383.9,372.0,697.9,766.2,735.2,711.5,1034.7,826.0,639.8,1088.0,1209.0,1190.6,1104.5,187.3,990.4,1655.3,1650.8,1650.8
1686.0,600.5,565.1,278.8,935.3,485.3,642.0,283.0,1326.0,1117.3,593.0,994.8,1268.2,1194.1,1108.0,418.7,1281.9,1658.8,1654.3,1654.3
672.6,1380.6,1187.8,1205.3,1070.2,1453.1,1422.1,1604.0,823.5,701.1,882.6,1304.3,448.4,490.4,343.6,1354.8,713.9,742.4,939.2,939.2
1065.3,1810.2,1756.2,1773.7,1725.4,1895.7,1907.2,2172.4,1830.6,1707.4,1451.0,1687.7,1206.2,1241.4,1002.1,1923.2,1721.0,1000.3,382.0,382.0
1904.8,819.3,732.5,497.6,934.1,891.8,860.8,868.3,1270.9,1062.2,811.8,1213.6,1445.2,1412.9,1326.8,539.1,1226.6,1877.6,1873.1,1873.1
1626.7,644.2,1154.6,844.4,1126.8,729.7,698.3,976.0,1314.5,1105.8,773.6,160.8,1208.9,1134.8,1048.7,1017.9,1280.2,1599.5,1432.9,1432.9
2231.9,818.0,1161.9,875.6,1503.0,623.8,673.3,474.7,1814.8,1606.1,1169.1,823.2,1823.2,1749.1,1653.9,1015.5,1780.5,2204.7,2022.4,2022.4
652.8,1377.9,1308.4,1325.9,1277.6,1463.4,1459.4,1724.6,1345.3,1222.9,1003.2,1239.9,758.4,793.6,554.3,1475.4,1235.7,603.3,261.4,261.4
1285.8,645.2,735.5,813.2,701.7,730.7,750.5,1084.7,889.4,680.7,490.5,650.6,868.0,793.9,707.8,902.5,855.1,1258.6,1197.6,1197.6
1602.7,343.3,853.7,543.5,881.7,428.8,448.6,782.8,1185.6,976.9,510.6,484.9,1194.0,1119.9,1024.7,717.0,1151.3,1575.5,1393.2,1393.2
1534.0,775.7,1107.2,975.9,1073.4,861.2,829.8,1107.5,1261.1,1052.4,862.2,299.6,1116.2,1042.1,956.0,1149.4,1195.3,1506.8,1340.2,1340.2
1696.1,610.6,606.4,288.9,944.1,683.1,652.1,659.6,1280.9,1072.2,603.1,1004.9,1278.3,1204.2,1118.1,460.0,1236.6,1668.9,1664.4,1664.4
1208.3,644.5,476.0,469.2,477.2,717.0,686.0,867.9,848.3,639.6,104.6,682.1,790.5,716.4,630.3,642.7,814.0,1181.1,1176.6,1176.6
1774.1,752.5,587.9,430.8,789.5,825.0,794.0,801.5,1126.3,917.6,731.4,1146.8,1300.6,1282.2,1196.1,394.5,1082.0,1746.9,1742.4,1742.4
1648.0,560.6,1071.0,760.8,1043.2,646.1,662.2,955.8,1230.9,1022.2,690.0,315.9,1239.3,1165.2,1070.0,934.3,1196.6,1620.8,1438.5,1438.5
1479.6,405.0,633.9,526.3,748.5,524.7,545.5,785.9,1119.6,910.9,386.6,690.0,1061.8,987.7,901.6,699.8,1085.3,1452.4,1447.9,1447.9
1626.7,454.2,878.6,640.3,895.6,539.7,559.5,893.7,1223.6,1014.9,524.5,522.9,1208.9,1134.8,1048.7,813.8,1189.3,1599.5,1431.2,1431.2
652.7,1377.8,1308.3,1325.8,1277.5,1463.3,1459.3,1724.5,1345.2,1222.8,1003.1,1239.8,758.3,793.5,554.2,1475.3,1235.6,603.2,261.3,261.3
859.0,1031.7,838.9,856.4,808.1,1104.2,1073.2,1255.1,807.8,685.4,533.7,1060.0,372.7,293.7,343.2,1005.9,698.2,809.8,909.8,909.8
1514.4,436.3,654.4,409.8,781.1,412.0,477.8,514.9,1154.4,945.7,421.4,830.6,1096.6,1022.5,936.4,583.3,1120.1,1487.2,1482.7,1482.7
1018.4,1032.4,1206.6,1232.6,1172.8,1117.9,1113.9,1471.9,1275.7,1151.8,961.6,894.4,704.5,739.7,440.4,1373.6,1166.1,972.7,738.5,738.5
988.8,1027.4,1201.6,1227.6,1167.8,1112.9,1108.9,1466.9,1246.1,1123.7,956.6,889.4,709.9,721.3,410.8,1368.6,1136.5,943.1,708.9,708.9
1573.6,224.2,687.6,377.4,814.5,203.1,297.9,557.1,1213.6,1004.9,480.6,660.4,1155.8,1081.7,995.6,550.9,1179.3,1546.4,1541.9,1541.9
